"icode","n","min","max","mean","sd","product","meanpsd","meanmsd","code","realm","biome","area"
6,1082136,0,10000,4103.821075,2953.871674,"MCD09_mean_07",7057.692749,1149.949401,"AT_10","Afrotropics","Montane Grasslands & Shrublands",864245.767747328
7,133341,1738,7919,3896.332951,599.224207,"MCD09_mean_07",4495.557158,3297.108744,"AT_12","Afrotropics","Mediterranean Forests, Woodlands & Scrub",95863.7234657234
8,3035409,0,9774,2058.380314,1784.817763,"MCD09_mean_07",3843.198077,273.562551,"AT_13","Afrotropics","Deserts & Xeric Shrublands",2408177.6913716
9,90957,415,9954,7143.221929,2653.757732,"MCD09_mean_07",9796.979661,4489.464197,"AT_14","Afrotropics","Mangroves",76880.1227050211
10,182688,200,8049,2901.707228,1539.389291,"MCD09_mean_07",4441.096519,1362.317937,"AT_98","Afrotropics","Lake",155945.223326255
11,719819,2638,10000,7700.81557,1137.386497,"MCD09_mean_07",8838.202067,6563.429073,"AN_11","Antarctic","Tundra",3224184.7464844
12,1358169,2407,10000,8016.360944,1144.631605,"MCD09_mean_07",9160.992549,6871.729339,"AA_1","Australasia","Tropical & Subtropical Moist Broadleaf Forests",1160342.82886843
13,104288,1279,9920,5450.320766,1737.496905,"MCD09_mean_07",7187.817671,3712.823861,"AA_2","Australasia","Tropical & Subtropical Dry Broadleaf Forests",88348.3176177127
14,1060843,2612,9971,5816.0462,1180.913516,"MCD09_mean_07",6996.959716,4635.132684,"AA_4","Australasia","Temperate Broadleaf & Mixed Forests",736810.28289232
15,2670428,305,9343,1946.750913,1543.187305,"MCD09_mean_07",3489.938218,403.563608,"AA_7","Australasia","Tropical & Subtropical Grasslands, Savannas & Shrublands",2170611.10563935
16,865493,1259,9971,3867.260052,1375.067547,"MCD09_mean_07",5242.327599,2492.192505,"AA_8","Australasia","Temperate Grasslands, Savannas & Shrublands",631022.582964559
17,99967,4008,10000,7341.963218,1472.92268,"MCD09_mean_07",8814.885898,5869.040538,"AA_10","Australasia","Montane Grasslands & Shrublands",67647.4404677671
18,1630,6611,9503,8181.040491,578.76869,"MCD09_mean_07",8759.809181,7602.271801,"AA_11","Australasia","Tundra",876.391879628791
19,1113014,2652,8974,5378.879894,893.498454,"MCD09_mean_07",6272.378348,4485.38144,"AA_12","Australasia","Mediterranean Forests, Woodlands & Scrub",805435.726597712
20,4626700,374,9011,2205.541021,1083.461439,"MCD09_mean_07",3289.00246,1122.079582,"AA_13","Australasia","Deserts & Xeric Shrublands",3580111.63052413
21,31421,4472,9558,7967.405398,875.203253,"MCD09_mean_07",8842.608651,7092.202145,"AA_14","Australasia","Mangroves",26884.7535125501
22,6661401,1534,10000,8397.975085,1050.20195,"MCD09_mean_07",9448.177035,7347.773135,"IM_1","IndoMalay","Tropical & Subtropical Moist Broadleaf Forests",5422854.37209134
23,1886721,5693,10000,9026.598428,577.994682,"MCD09_mean_07",9604.59311,8448.603746,"IM_2","IndoMalay","Tropical & Subtropical Dry Broadleaf Forests",1531782.59191699
24,127677,1650,10000,7843.715947,1844.614828,"MCD09_mean_07",9688.330775,5999.101119,"IM_3","IndoMalay","Tropical & Subtropical Coniferous Forests",95956.3882790413
25,200216,1747,10000,8322.714663,1748.020246,"MCD09_mean_07",10070.734909,6574.694417,"IM_4","IndoMalay","Temperate Broadleaf & Mixed Forests",149970.345753284
26,90962,1360,10000,7772.420648,2429.059753,"MCD09_mean_07",10201.480401,5343.360895,"IM_5","IndoMalay","Temperate Conifer Forests",67304.1093393582
