"icode","n","min","max","mean","sd","meanpsd","meanmsd","month","code","realm","biome"
45,3848773,14,100,67.485328,13.554121,81.039449,53.931207,"03","NT_2","Neotropics","Tropical & Subtropical Dry Broadleaf Forests"
46,11172313,11,100,50.273502,13.365398,63.6389,36.908104,"03","NT_3","Neotropics","Tropical & Subtropical Coniferous Forests"
47,107349,40,66,55.227622,4.831136,60.058758,50.396486,"03","NT_4","Neotropics","Temperate Broadleaf & Mixed Forests"
48,5021883,26,94,55.261698,8.350306,63.612004,46.911392,"03","NT_7","Neotropics","Tropical & Subtropical Grasslands, Savannas & Shrublands"
49,14231614,6,100,53.694807,17.707109,71.401916,35.987698,"03","NT_8","Neotropics","Temperate Grasslands, Savannas & Shrublands"
50,173991,17,91,40.717704,7.99827,48.715974,32.719434,"03","NT_9","Neotropics","Flooded Grasslands & Savannas"
51,3294261,10,99,38.157722,14.183657,52.341379,23.974065,"03","NT_10","Neotropics","Montane Grasslands & Shrublands"
52,1517251,14,99,62.245188,7.692848,69.938036,54.55234,"03","NT_12","Neotropics","Mediterranean Forests, Woodlands & Scrub"
53,79364068,0,100,40.196924,16.677742,56.874666,23.519182,"03","NT_13","Neotropics","Deserts & Xeric Shrublands"
54,11000629,13,100,77.65909,10.980315,88.639405,66.678775,"03","NT_14","Neotropics","Mangroves"
55,1386714,8,100,55.435374,22.95215,78.387524,32.483224,"03","NT_98","Neotropics","Lake"
56,399192,11,99,43.088441,16.131669,59.22011,26.956772,"03","NT_99","Neotropics","Rock & Ice"
57,690956,6,100,64.56855,21.92414,86.49269,42.64441,"03","OC_1","Oceania","Tropical & Subtropical Moist Broadleaf Forests"
58,4946417,19,97,65.686244,12.829603,78.515847,52.856641,"03","OC_2","Oceania","Tropical & Subtropical Dry Broadleaf Forests"
59,2478959,15,100,41.960869,10.01834,51.979209,31.942529,"03","OC_7","Oceania","Tropical & Subtropical Grasslands, Savannas & Shrublands"
60,340291,18,94,55.669221,9.960532,65.629753,45.708689,"03","PA_1","Palearctic","Tropical & Subtropical Moist Broadleaf Forests"
61,1103930,2,100,45.428636,28.287183,73.715819,17.141453,"03","PA_4","Palearctic","Temperate Broadleaf & Mixed Forests"
62,202914,0,54,12.637482,10.966972,23.604454,1.67051,"03","PA_5","Palearctic","Temperate Conifer Forests"
63,1400936,2,100,61.228754,22.482884,83.711638,38.74587,"03","PA_6","Palearctic","Boreal Forests/Taiga"
64,151413,9,95,51.843791,20.315594,72.159385,31.528197,"03","PA_8","Palearctic","Temperate Grasslands, Savannas & Shrublands"
65,9721,23,79,42.387512,10.351017,52.738529,32.036495,"03","PA_9","Palearctic","Flooded Grasslands & Savannas"
66,31283,58,100,94.495733,6.244057,100.73979,88.251676,"03","PA_10","Palearctic","Montane Grasslands & Shrublands"
67,35354,22,100,73.765882,12.303773,86.069655,61.462109,"03","PA_11","Palearctic","Tundra"
68,18023,32,96,71.488875,12.29095,83.779825,59.197925,"03","PA_12","Palearctic","Mediterranean Forests, Woodlands & Scrub"
69,4200,32,93,51.008571,10.380447,61.389018,40.628124,"03","PA_13","Palearctic","Deserts & Xeric Shrublands"
1,4109912,5,100,73.844081,14.458476,88.302557,59.385605,"04","AT_1","Afrotropics","Tropical & Subtropical Moist Broadleaf Forests"
2,236635,7,95,36.823331,10.578104,47.401435,26.245227,"04","AT_2","Afrotropics","Tropical & Subtropical Dry Broadleaf Forests"
3,16678174,3,100,52.502507,20.039558,72.542065,32.462949,"04","AT_7","Afrotropics","Tropical & Subtropical Grasslands, Savannas & Shrublands"
4,32718,12,94,24.867443,9.033294,33.900737,15.834149,"04","AT_8","Afrotropics","Temperate Grasslands, Savannas & Shrublands"
5,547700,12,92,50.866922,16.412675,67.279597,34.454247,"04","AT_9","Afrotropics","Flooded Grasslands & Savannas"
6,1082136,8,100,53.060584,14.427904,67.488488,38.63268,"04","AT_10","Afrotropics","Montane Grasslands & Shrublands"
